Participant	QN	Neologism	Condition	Figure	Regularity	Pattern	Score	Unknown	Age
Suj03	31Q10	congelateur	3	Metonymy	Low	P31	NA	NA	20
Suj03	32Q01	jambe	3	Metonymy	Low	P32	2	NA	20
Suj03	32Q02	dos	3	Metonymy	Low	P32	7	NA	20
Suj03	32Q03	doigt	3	Metonymy	Low	P32	2	NA	20
Suj03	32Q04	cuisse	3	Metonymy	Low	P32	3	NA	20
Suj03	32Q05	poignet	3	Metonymy	Low	P32	1	NA	20
Suj03	32Q06	poing	3	Metonymy	Low	P32	NA	NA	20
Suj03	32Q07	abdos	3	Metonymy	Low	P32	NA	NA	20
Suj03	32Q08	uterus	3	Metonymy	Low	P32	NA	NA	20
Suj03	32Q09	gorge	3	Metonymy	Low	P32	NA	NA	20
Suj03	32Q10	sourcil	3	Metonymy	Low	P32	NA	NA	20
Suj03	33Q01	savoir	3	Metonymy	Low	P33	2	NA	20
Suj03	33Q02	laicite	3	Metonymy	Low	P33	1	NA	20
Suj03	33Q03	elegance	3	Metonymy	Low	P33	2	NA	20
Suj03	33Q04	generosite	3	Metonymy	Low	P33	1	NA	20
Suj03	33Q05	spiritualite	3	Metonymy	Low	P33	7	NA	20
Suj03	33Q06	pauvrete	3	Metonymy	Low	P33	NA	NA	20
Suj03	33Q07	ivresse	3	Metonymy	Low	P33	NA	NA	20
Suj03	33Q08	humour	3	Metonymy	Low	P33	NA	NA	20
Suj03	33Q09	paranoia	3	Metonymy	Low	P33	NA	NA	20
Suj03	33Q10	fougue	3	Metonymy	Low	P33	NA	NA	20
Suj03	41Q01	ablation	4	Metonymy	High	P41	2	NA	20
Suj03	41Q02	reparation	4	Metonymy	High	P41	7	NA	20
Suj03	41Q03	glanage	4	Metonymy	High	P41	NA	Unknown	20
Suj03	41Q04	racket	4	Metonymy	High	P41	NA	Unknown	20
Suj03	41Q05	bouclage	4	Metonymy	High	P41	2	NA	20
Suj03	41Q06	perquisition	4	Metonymy	High	P41	NA	NA	20
Suj03	41Q07	liquidation	4	Metonymy	High	P41	NA	NA	20
Suj03	41Q08	broyage	4	Metonymy	High	P41	NA	NA	20
Suj03	41Q09	largage	4	Metonymy	High	P41	NA	NA	20
Suj03	41Q10	verification	4	Metonymy	High	P41	NA	NA	20
Suj03	42Q01	paternalisme	4	Metonymy	High	P42	2	NA	20
Suj03	42Q02	serviabilite	4	Metonymy	High	P42	5	NA	20
Suj03	42Q03	sincerite	4	Metonymy	High	P42	3	NA	20
Suj03	42Q04	clemence	4	Metonymy	High	P42	1	NA	20
Suj03	42Q05	bienveillance	4	Metonymy	High	P42	1	NA	20
Suj03	42Q06	neutralite	4	Metonymy	High	P42	NA	NA	20
Suj03	42Q07	sexisme	4	Metonymy	High	P42	NA	NA	20
Suj03	42Q08	arrogance	4	Metonymy	High	P42	NA	NA	20
Suj03	42Q09	docilite	4	Metonymy	High	P42	NA	NA	20
Suj03	42Q10	immaturite	4	Metonymy	High	P42	NA	NA	20
Suj03	43Q01	safran	4	Metonymy	High	P43	2	NA	20
Suj03	43Q02	vinaigre	4	Metonymy	High	P43	4	NA	20
Suj03	43Q03	levure	4	Metonymy	High	P43	1	NA	20
Suj03	43Q04	moutarde	4	Metonymy	High	P43	7	NA	20
Suj03	43Q05	vanille	4	Metonymy	High	P43	1	NA	20
Suj03	43Q06	lait	4	Metonymy	High	P43	NA	NA	20
Suj03	43Q07	ketchup	4	Metonymy	High	P43	NA	NA	20
Suj03	43Q08	sel	4	Metonymy	High	P43	NA	NA	20
Suj03	43Q09	beurre	4	Metonymy	High	P43	NA	NA	20
Suj03	43Q10	huile	4	Metonymy	High	P43	NA	NA	20
Suj04	11Q01	mentor	1	Metaphor	Low	P11	1	NA	19
Suj04	11Q02	croupier	1	Metaphor	Low	P11	7	NA	19
Suj04	11Q03	vigile	1	Metaphor	Low	P11	6	NA	19
